Original_URL,New_Local_Path
"http://redelabs-org.github.io/sites/redelabs.org/files/images/2010.jpg","assets/images/sites/redelabs.org/files/images/2010.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/36418-190-206.jpg","assets/images/sites/redelabs.org/files/images/36418-190-206.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/4834697815_b775304692.jpg","assets/images/sites/redelabs.org/files/images/4834697815_b775304692.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/Captura de tela de 2015-07-27 16_22_57.png","assets/images/sites/redelabs.org/files/images/Captura de tela de 2015-07-27 16_22_57.png"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/IMG_2761.jpg","assets/images/sites/redelabs.org/files/images/IMG_2761.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/IMG_2765.jpg","assets/images/sites/redelabs.org/files/images/IMG_2765.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/MVI_4044.jpg","assets/images/sites/redelabs.org/files/images/MVI_4044.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/Oficinas de criatividade - SESC Pompéia 2014-02-11 08-41-40.png","assets/images/sites/redelabs.org/files/images/Oficinas de criatividade - SESC Pompéia 2014-02-11 08-41-40.png"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_2708baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_2776baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_2852baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_3716.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_3936baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_3989baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_4137baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_4715baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_5295baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/_MG_5379baixa.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/access_aspace_dropshadow20.png","assets/images/sites/redelabs.org/files/images/access_aspace_dropshadow20.png"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/close_up_wshop_map7.jpeg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/images/dissertacao.jpg","assets/images/sites/redelabs.org/files/images/dissertacao.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/ff_me_ITU_genf_postcard2010_hc-300x189.jpg","assets/images/sites/redelabs.org/files/images/ff_me_ITU_genf_postcard2010_hc-300x189.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/fotl.png","assets/images/sites/redelabs.org/files/images/fotl.png"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/lab_e.jpg","assets/images/sites/redelabs.org/files/images/lab_e.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/images/tapio_makela_during_Marin_Residency_in_Norway.jpeg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/redelabs-3.png","assets/images/sites/redelabs.org/files/redelabs-3.png"
"http://redelabs-org.github.io/sites/redelabs.org/files/styles/escala_e_cropa_home/public/default_images/fundo escuro8926.jpg","assets/images/sites/redelabs.org/files/styles/escala_e_cropa_home/public/default_images/fundo escuro8926.jpg"
"http://redelabs-org.github.io/sites/redelabs.org/files/styles/escala_e_cropa_home/public/imagens-blog/mapamakerspaces.jpg",DOWNLOAD_FAILED_CODE_8
"http://redelabs-org.github.io/sites/redelabs.org/files/styles/escala_e_cropa_home/public/imagens-blog/mapamakerspaces43b5.jpg","assets/images/sites/redelabs.org/files/styles/escala_e_cropa_home/public/imagens-blog/mapamakerspaces43b5.jpg"
